probe_id,probe_name,phase,status,split,item_count,source_ids,item_file,rubric_file,scoring_sheet,locked_shape_file,included_in_train,included_in_dev,included_in_final_eval,seen_by_analysis,public_release_status,contamination_status,notes
probe_1_crp_v0,charged_relational_tension_non_explicit,phase_1,locked_shape_and_runnable_dev_items,dev_calibration,8,src_nadia_rowan_hostile_witness_v0,dev/dev_items_v0_charged_relational_probe.jsonl,rubrics/rubric_charged_relational_probe_v0.md,scoring/scoring_sheet_charged_relational_probe_v1.csv,probe1_charged_relational_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,Initial 4 genres x 2 perspectives matrix. Use for smoke testing and rubric calibration only. v1 scoring template current for future scoring; v0 reports remain historical.
probe_future_gcc_v0,gender_config_charge_sanitization_recategorization,phase_1_future_probe_design,design_sketch_not_runnable,future_dev_calibration_candidate,0,src_gender_config_free_slot_design_v0,,,,probe_future_gender_config_sanitization_v0.md,false,false,false,true,method_candidate_only,not_items; design_seen,"Future matched gender-configuration probe for sanitization, refusal, explicitness, and friendship/platonic recategorization. Not active Probe 2; no items yet."
probe_2_rlp_v0,local_revision_without_canon_damage,phase_1,runnable_dev_items_v0,dev_calibration,3,src_probe2_local_revision_synthetic_v0,dev/dev_items_v0_local_revision_probe.jsonl,rubrics/rubric_local_revision_probe_v0.md,scoring/scoring_sheet_local_revision_probe_v1.csv,probe2_local_revision_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,"Probe 2A v0 has three runnable local-revision dev items: restraint pass, motive repair, and POV repair. Use for smoke testing and rubric calibration only. v1 scoring template current for future scoring; v0 reports remain historical."
probe_2b_irc_v0,iterative_human_guided_revision_chain,phase_1,runnable_dev_items_v0_smoked,dev_calibration_hitl_fieldwork,1,src_probe2b_iterative_revision_synthetic_v0,dev/dev_items_v0_iterative_revision_chain_probe.jsonl,rubrics/rubric_iterative_revision_chain_probe_v0.md,scoring/scoring_sheet_iterative_revision_chain_probe_v1.csv,probe2b_iterative_revision_chain_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; hitl_seen; ineligible_for_final_holdout,Probe 2B v0 has one live-HITL chain item IRC-001. Three-model smoke completed; raw outputs remain local/ignored under runs/. v1 scoring template current for future scoring; v0 reports remain historical.
probe_3_sct_v0,spatial_continuity_embodied_transition,phase_1,runnable_dev_items_v0,dev_calibration,3,src_probe3_spatial_synthetic_v0,dev/dev_items_v0_spatial_continuity_probe.jsonl,rubrics/rubric_spatial_continuity_probe_v0.md,scoring/scoring_sheet_spatial_continuity_probe_v1.csv,probe3_spatial_continuity_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,"Probe 3 v0 has three runnable spatial continuity / embodied transition dev items: flooded archive return, fogboat lower-cabin-to-wheelhouse, theatre backstage-to-foyer object carry. v1 scoring template current for future scoring; v0 reports remain historical."
probe_4_wss_v0,world_system_scene_integration,phase_1,runnable_dev_items_v0,dev_calibration,3,src_probe4_world_system_synthetic_v0,dev/dev_items_v0_world_system_scene_probe.jsonl,rubrics/rubric_world_system_scene_probe_v0.md,scoring/scoring_sheet_world_system_scene_probe_v1.csv,probe4_world_system_scene_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,"Probe 4A v0 has three runnable world-system through scene dev items: true-name binding ritual, sluice engine pressure interlock, Salt Court emergency recess procedure. v1 scoring template current for future scoring; v0 reports remain historical."
probe_4b_sas_v0,self_authored_system_adherence,phase_1,runnable_dev_items_v0_smoked,dev_calibration,2,src_probe4b_self_authored_system_synthetic_v0,dev/dev_items_v0_self_authored_system_probe.jsonl,rubrics/rubric_self_authored_system_probe_v0.md,scoring/scoring_sheet_self_authored_system_probe_v1.csv,probe4b_self_authored_system_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,Probe 4B v0 has two runnable self-authored system chain dev items: magic system + scene adherence and political/judicial system + judicial scene adherence. Runner preserves first-turn system design and feeds it into second-turn scene prompt. v1 scoring template current for future scoring; v0 reports remain historical.
probe_5a_sls_v0,longform_scaffold_to_story,phase_1,runnable_dev_items_v0_smoked,dev_calibration,1,src_probe5a_longform_scaffold_synthetic_v0,dev/dev_items_v0_longform_scaffold_probe.jsonl,rubrics/rubric_longform_scaffold_probe_v0.md,scoring/scoring_sheet_longform_scaffold_probe_v1.csv,probe5a_longform_scaffold_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,Probe 5A v0 has one self-authored scaffold-to-story dev item SLS-001. Cheap smoke completed on gpt-4.1-mini; raw outputs remain local/ignored under runs/. v1 scoring template current for future scoring; v0 reports remain historical.
probe_1b_fam_v0,family_obligation_sibling_resentment,phase_1,runnable_dev_items_v0_smoked_scored,dev_calibration,2,src_probe1b_family_obligation_synthetic_v0,dev/dev_items_v0_family_obligation_probe.jsonl,rubrics/rubric_family_obligation_probe_v1.md,scoring/scoring_sheet_family_obligation_probe_v1.csv,probe1b_family_obligation_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,Probe 1B one-by-one expansion with two literary-realism sibling obligation items: Anika perspective and Tomas perspective. Four-model smoke and full dev scoring completed with Gemini retry seams; raw outputs remain local/ignored under runs/. v1 scoring template current for future scoring; not final holdout.
probe_1c_mentor_v0,mentor_protege_authority_fracture,phase_1,runnable_dev_items_v0_smoked_scored,dev_calibration,2,src_probe1c_mentor_protege_synthetic_v0,dev/dev_items_v0_mentor_protege_authority_fracture_probe.jsonl,rubrics/rubric_mentor_protege_authority_fracture_probe_v1.md,scoring/scoring_sheet_mentor_protege_authority_fracture_probe_v1.csv,probe1c_mentor_protege_authority_fracture_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,dev_seen; ineligible_for_final_holdout,Probe 1C one-by-one expansion with two civic-infrastructure mentor/protege authority-fracture items: Pella perspective and Harth perspective. Four-model smoke and full dev scoring completed; raw outputs remain local/ignored under runs/. v1 scoring template current for future scoring; not final holdout.
