cluster,benchmark_or_paper,year,source_url,source_title_found,source_status,citation_verified,task_type,generation_or_QA,long_context,character_state,relationship_state,style_or_genre,human_revision,subtext_or_implicit_state,what_we_borrow,gap_relative_to_us,notes
generative_writing,WritingBench,2025,https://arxiv.org/abs/2503.05244,WritingBench: A Comprehensive Benchmark for Generative Writing,direct source page fetched; title/abstract or page description captured,abstract_verified,broad writing benchmark,generation,some/varied,limited,limited,yes,limited,limited,broad writing-eval structure; style/format/length requirement tracking,not specifically narrative state custody or implicit multi-state preservation,"Verified direct source page (arxiv_abs); authors: Wu, Yuning, Mei, Jiahao, Yan, Ming, Li, Chenliang, Lai, Shaopeng; categories: ; abstract/page note: Recent advancements in large language models (LLMs) have significantly enhanced text generation capabilities, yet evaluating their performance in generative writing remains a challenge. Existing benchmarks primarily focus on generic text generation or limited in writing tasks, failing to capture the diverse requirements of high-quality written contents across various domains. To bridge this gap, we present WritingBench, a comprehensive benchmark designed to evaluate LLMs across 6 core writing do"
creative_longform,EQ-Bench Longform Creative Writing,2025,https://eqbench.com/creative_writing_longform.html,EQ-Bench Longform Creative Writing Leaderboard,direct benchmark page fetched; page description captured,source_page_verified,creative writing leaderboard/eval,generation,yes/output-length,yes/rubric,limited,yes,plan/revision elements,some,longform degradation tracking; anti-slop/prose-quality rubrics,artifact/judge focus; not live human-steered relational state,Verified direct source page (benchmark_page); authors: not captured / web page; categories: ; abstract/page note: ve Writing v3 | ☢️Slop Score | ⚖️Judgemark v4 | 🎤BuzzBench | 🌍DiploBench | 📚Legacy Leaderboards 🌀Spiral-Bench v1.0 🎨Creative Writing v2 💗EQ-Bench v2 ⚖️Judgemark v2.1 An LLM-judged longform creative writing benchmark. ✨Updated! Learn more Expand Details Model Length Slop Repetition Degradation Score Samples Longform Creative Writing Benchmark Find the source code here: https://github.com/EQ-bench/longform-writing-bench This benchmark evaluates several abilities: Brainstorming & planning out a sho
narrative_consistency,ConStory-Bench,2026,https://arxiv.org/abs/2603.05890,Lost in Stories: Consistency Bugs in Long Story Generation by LLMs,direct source page fetched; title/abstract or page description captured,abstract_verified,ultra-long story consistency,generation,yes/8k-10k output,yes,limited,yes/narrative-style,continuation/expansion/completion tasks,limited,consistency-bug taxonomy; plot/world/character contradiction lanes,consistency is not the same as preserving unresolved relational subtext,"Verified direct source page (arxiv_abs); authors: Li, Junjie, Guo, Xinrui, Wu, Yuhao, Lee, Roy Ka-Wei, Li, Hongzhi; categories: ; abstract/page note: What happens when a storyteller forgets its own story? Large Language Models (LLMs) can now generate narratives spanning tens of thousands of words, but they often fail to maintain consistency throughout. When generating long-form narratives, these models can contradict their own established facts, character traits, and world rules. Existing story generation benchmarks focus mainly on plot quality and fluency, leaving consistency errors largely unexplored. To address this gap, we present ConStor"
long_generation,LongGenBench,2024/2025,https://arxiv.org/abs/2409.02076,LongGenBench: Benchmarking Long-Form Generation in Long Context LLMs,direct source page fetched; title/abstract or page description captured,abstract_verified,long-form generation with distributed constraints,generation,yes/16k-32k,no/indirect,no,varied scenarios,no,limited,generated-length constraint persistence; distributed instruction checks,not character/relationship/story-state specific,"Verified direct source page (arxiv_abs); authors: Wu, Yuhao, Hee, Ming Shan, Hu, Zhiqing, Lee, Roy Ka-Wei; categories: ; abstract/page note: Current benchmarks like Needle-in-a-Haystack (NIAH), Ruler, and Needlebench focus on models' ability to understand long-context input sequences but fail to capture a critical dimension: the generation of high-quality long-form text. Applications such as design proposals, technical documentation, and creative writing rely on coherent, instruction-following outputs over extended sequences - a challenge that existing benchmarks do not adequately address. To fill this gap, we introduce LongGenBench,"
literary_fiction,Towards A “Novel” Benchmark,2025,https://aclanthology.org/2025.findings-acl.1114/,Towards A “Novel” Benchmark: Evaluating Literary Fiction with Large Language Models,direct source page fetched; title/abstract or page description captured,abstract_verified,literary fiction evaluation framework,generation/evaluation,yes/novel-like,yes,some,yes,limited,some,macro/meso/micro fiction criteria; high-starting low-ending failure signature,artifact-level fiction quality more than co-writing repair/canon custody,"Verified direct source page (acl_anthology); authors: not captured / web page; categories: ; abstract/page note: Current exploration on creative generation focuses mainly on short stories, poetry, and scripts. With the expansion of Large Language Models (LLMs) context windows, “novel” avenues emerge. This study aims to extend the boundaries of Natural Language Generation (NLG) evaluation by exploring LLMs’ capabilities in more challenging long-form fiction. We propose a new multi-level evaluation framework that incorporates ten metrics across the Macro, Meso, and Micro levels. An annotated fiction dataset,"
fiction_long_context,NoCha / One Thousand and One Pairs,2024,https://arxiv.org/abs/2406.16264,"One Thousand and One Pairs: A ""novel"" challenge for long-context language models",direct source page fetched; title/abstract or page description captured,abstract_verified,fiction claim verification,QA/verification,yes/full novels,yes/implicit in claims,some,no,no,some,human-authored minimal pairs; recently-published fiction as contamination brake,verifies claims rather than writing forward under constraints,"Verified direct source page (arxiv_abs); authors: Karpinska, Marzena, Thai, Katherine, Lo, Kyle, Goyal, Tanya, Iyyer, Mohit; categories: ; abstract/page note: Synthetic long-context LLM benchmarks (e.g., ""needle-in-the-haystack"") test only surface-level retrieval capabilities, but how well can long-context LLMs retrieve, synthesize, and reason over information across book-length inputs? We address this question by creating NoCha, a dataset of 1,001 minimally different pairs of true and false claims about 67 recently-published English fictional books, written by human readers of those books. In contrast to existing long-context benchmarks, our annotato"
narrative_QA,NarrativeQA,2018,https://github.com/google-deepmind/narrativeqa,"GitHub - google-deepmind/narrativeqa: This repository contains the NarrativeQA dataset. It includes the list of documents with Wikipedia summaries, links to full stories, and questions and answers.",direct source page fetched; title/abstract or page description captured,source_page_verified,narrative reading comprehension,QA,yes/stories,yes/implicit,some,no,no,some,long narrative comprehension; question/answer structure,answer extraction rather than generative state custody,"Verified direct source page (github_repo); authors: not captured / web page; abstract/page note: This repository contains the NarrativeQA dataset. It includes the list of documents with Wikipedia summaries, links to full stories, and questions and answers. - google-deepmind/narrativeqa"
narrative_QA,NovelQA,2024,https://arxiv.org/abs/2403.12766,NovelQA: Benchmarking Question Answering on Documents Exceeding 200K Tokens,direct source page fetched; title/abstract or page description captured,abstract_verified,long-range novel question answering,QA,yes/novels,yes/implicit,some,no,no,some,novel-scale QA and long-range dependency pressure,does not test style/genre/perspective preservation during generation,"Verified direct source page (arxiv_abs); authors: Wang, Cunxiang, Ning, Ruoxi, Pan, Boqi, Wu, Tonghui, Guo, Qipeng; abstract/page note: Recent advancements in Large Language Models (LLMs) have pushed the boundaries of natural language processing, especially in long-context understanding. However, the evaluation of these models' long-context abilities remains a challenge due to the limitations of current benchmarks. To address this gap, we introduce NovelQA, a benchmark tailored for evaluating LLMs with complex, extended narratives. Constructed from English novels, NovelQA offers a unique blend of complexity, length, and narrativ"
long_context,LongBench,2023/2024,https://arxiv.org/abs/2308.14508,"LongBench: A Bilingual, Multitask Benchmark for Long Context Understanding",direct source page fetched; title/abstract or page description captured,abstract_verified,long-context understanding,QA/summarization/etc,yes,indirect,indirect,no,no,limited,multitask long-context evaluation framing,"long-input understanding, not narrative writing/revision","Verified direct source page (arxiv_abs); authors: Bai, Yushi, Lv, Xin, Zhang, Jiajie, Lyu, Hongchang, Tang, Jiankai; abstract/page note: Although large language models (LLMs) demonstrate impressive performance for many language tasks, most of them can only handle texts a few thousand tokens long, limiting their applications on longer sequence inputs, such as books, reports, and codebases. Recent works have proposed methods to improve LLMs' long context capabilities by extending context windows and more sophisticated memory mechanisms. However, comprehensive benchmarks tailored for evaluating long context understanding are lacking"
long_context,RULER,2024,https://arxiv.org/abs/2404.06654,RULER: What's the Real Context Size of Your Long-Context Language Models?,direct source page fetched; title/abstract or page description captured,abstract_verified,synthetic long-context retrieval/tracing,QA/retrieval/tracing,yes,no,no,no,no,no,multi-hop tracing and aggregation beyond needle retrieval,"explicit synthetic tracing, not latent narrative state","Verified direct source page (arxiv_abs); authors: Hsieh, Cheng-Ping, Sun, Simeng, Kriman, Samuel, Acharya, Shantanu, Rekesh, Dima; abstract/page note: The needle-in-a-haystack (NIAH) test, which examines the ability to retrieve a piece of information (the ""needle"") from long distractor texts (the ""haystack""), has been widely adopted to evaluate long-context language models (LMs). However, this simple retrieval-based test is indicative of only a superficial form of long-context understanding. To provide a more comprehensive evaluation of long-context LMs, we create a new synthetic benchmark RULER with flexible configurations for customized sequ"
