source_id,source_name,source_type,source_lane,privacy_status,license_or_release_status,author_or_origin,canonical_path_or_url,included_in_train,included_in_dev,included_in_final_eval,seen_by_analysis,public_release_status,hash_or_receipt,notes
src_nadia_rowan_hostile_witness_v0,Nadia / Rowan / hostile witness synthetic source state,synthetic_prompt_source_state,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_charged_relational_probe.jsonl; probe1_charged_relational_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,see file hash in probe/item manifests after freeze; not final holdout,Base source state for Probe 1. Dev calibration only; do not use as final eval holdout or participant-system optimization material.
src_comparator_landscape_v0,Comparator benchmark landscape source verification,related_work_metadata,RESEARCH_CONTEXT,public_sources_only,citation/context metadata; underlying sources retain their own licenses,public benchmark/paper pages; local verification receipts,research/comparator_source_table_v0.csv; research/source_verification_notes_v0.md; research/source_verification_receipts_v0.json,false,false,false,true,citation_context_only,source_verification_receipts_v0.json,Related-work context. Not benchmark item content. Source/page/abstract verified; not full paper_verified.
src_gender_config_free_slot_design_v0,Gender configuration and protected/free slot design note,benchmark_design_note,BENCHMARK_DRAFT,method_context_public_summary_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,research/gender_config_and_free_slot_design_note_v0.md,false,true,false,true,candidate_method_summary_only,not frozen,"Design guidance for controlled gender configuration, sanitization/recategorization hypotheses, and protected vs free slot scoring. Not benchmark item content; not final eval. Local upload-cache receipt omitted from public manifest; retain only in internal release notes if needed."
src_probe2_local_revision_synthetic_v0,Probe 2 local revision synthetic source states,synthetic_prompt_source_states_and_draft_excerpts,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_local_revision_probe.jsonl; probe2_local_revision_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration source states for Probe 2A local revision without canon damage. Dev seen; not final holdout.
src_probe2b_iterative_revision_synthetic_v0,Probe 2B iterative revision chain synthetic source state and HITL notes,synthetic_prompt_source_state_and_human_notes,BENCHMARK_DEV_CALIBRATION_HITL,synthetic_public_candidate_plus_hitl_notes,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_iterative_revision_chain_probe.jsonl; probe2b_iterative_revision_chain_locked_shape_v0.md; reports/probe2b_live_three_model_smoke_note_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration source state for live-HITL iterative revision chain. Human notes and scored outputs are dev seen; not final holdout.
src_authorship_style_divergence_design_v0,Authorship style divergence and model-fiction baseline design note,benchmark_design_note,BENCHMARK_DRAFT,method_context_public_summary_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,research/authorship_style_divergence_design_note_v0.md,false,true,false,true,candidate_method_summary_only,not frozen,"Design guidance for authorship/style distinctiveness, StoryScope-style baseline divergence, model style profiles, and avoiding scalar leaderboard flattening. Not item content."
src_probe3_spatial_synthetic_v0,Probe 3 spatial continuity synthetic source states,synthetic_prompt_source_states,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_spatial_continuity_probe.jsonl; probe3_spatial_continuity_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration source states for Probe 3 spatial continuity / embodied transition. Dev seen; not final holdout.
src_probe4_world_system_synthetic_v0,Probe 4 world-system through scene synthetic source states,synthetic_prompt_source_states,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_world_system_scene_probe.jsonl; probe4_world_system_scene_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration source states for Probe 4A world-system through scene integration. Dev seen; not final holdout.
src_probe4b_self_authored_system_synthetic_v0,Probe 4B self-authored system chain synthetic prompts,synthetic_prompt_templates_and_chain_shape,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_self_authored_system_probe.jsonl; probe4b_self_authored_system_locked_shape_v0.md; research/probe4_self_authored_system_chain_design_note_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration prompts for Probe 4B self-authored magic and political/judicial system generation followed by scene adherence. Dev seen; not final holdout.
src_probe5a_longform_scaffold_synthetic_v0,Probe 5A self-authored longform scaffold-to-story prompt,synthetic_prompt_template_and_chain_shape,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_longform_scaffold_probe.jsonl; probe5a_longform_scaffold_locked_shape_v0.md; reports/probe5a_smoke_report_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration prompt for model-authored scaffold followed by three story turns. Dev seen; not final holdout.
src_probe1b_family_obligation_synthetic_v0,Probe 1B family obligation / sibling resentment synthetic source state,synthetic_prompt_source_state,BENCHMARK_DEV_CALIBRATION,synthetic_public_candidate,public dev-preview material; see LICENSE.md for package terms,Throughline benchmark authors with LLM-assisted drafting/revision,dev/dev_items_v0_family_obligation_probe.jsonl; probe1b_family_obligation_locked_shape_v0.md,false,true,false,true,candidate_dev_example_only,not frozen,Synthetic dev-calibration source state for Probe 1B sibling obligation/resentment expansion. Dev seen; not final holdout.
